City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
344,Yuza,JP,39.0,139.92,39.2,64,75,8.05,broken clouds
345,Joshimath,IN,30.57,79.57,42.49,37,0,6.24,clear sky
346,Trairi,BR,-3.28,-39.27,80.64,77,52,10.74,broken clouds
347,Springbok,ZA,-29.66,17.89,56.59,40,0,6.38,clear sky
348,Tacoronte,ES,28.48,-16.41,68.0,87,20,1.12,few clouds
349,Kieta,PG,-6.22,155.63,80.96,81,100,9.17,moderate rain
350,Morgan City,US,29.7,-91.21,59.0,67,1,14.99,clear sky
351,Ulladulla,AU,-35.35,150.47,62.6,100,75,4.7,broken clouds
352,Sorland,NO,67.67,12.69,42.8,81,75,20.8,broken clouds
353,Portland,US,45.52,-122.68,53.6,37,20,24.16,few clouds
354,Mumford,GH,5.26,-0.76,80.28,82,0,11.95,clear sky
355,Derzhavinsk,KZ,51.1,66.32,-1.03,92,3,10.33,clear sky
356,Lasa,IT,46.62,10.7,35.01,92,40,3.36,scattered clouds
357,Prince Rupert,CA,54.32,-130.32,51.8,37,20,13.87,few clouds
358,Kasongo-Lunda,CD,-6.47,16.82,70.77,91,100,1.25,light rain
359,Duldurga,RU,50.68,113.59,9.19,87,12,10.4,few clouds
360,Kloulklubed,PW,7.04,134.26,78.8,88,90,5.39,overcast clouds
361,Vredendal,ZA,-31.67,18.5,63.46,48,0,2.53,clear sky
362,Mali,GN,12.08,-12.3,65.32,39,30,3.67,scattered clouds
363,Touros,BR,-5.2,-35.46,78.8,83,40,4.7,scattered clouds
